Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Suma kalorii,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średnia kadencja biegu,Maksymalna kadencja biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Średni czas kontaktu z podłożem,Średni bilans CKP,Średni GAP,Normalized Power® (NP®),Training Stress Score® (TSS®),Średnia moc,Maksymalna moc,Kroki,Minimalna temperatura,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2025-09-02 16:01:34,false,"Wiśniowa Bieganie","10,30","776","00:57:12","142","155","3,1","176","186","5:33","3:25","299","299","1,02","9,0","9,1","250","50,8% L / 49,2% P","5:12","364","0,0","363","542","9.912","26,0","Nie","00:01:08,8","11","34,0","34","14","43","00:57:09","00:57:12","335","486"
Bieg lekkoatletyczny,2025-08-31 10:20:59,false,"Mszana Dolna Bieg lekkoatletyczny","12.000","846","00:55:03","156","174","4,1","180","194","4:35","3:52","--","--","1,22","7,7","9,5","227","50,2% L / 49,8% P","--","407","0,0","397","502","9.762","18,0","Nie","00:00:00,5","13","25,0","37","16","46","00:55:00","00:55:03","393","397"
Bieganie,2025-08-30 09:51:34,false,"Myślenice Bieganie","20,00","1.480","01:47:37","149","158","3,9","173","183","5:23","4:35","53","51","1,07","9,1","10,0","238","50,9% L / 49,1% P","5:23","351","0,0","350","460","18.432","25,0","Nie","00:00:01,0","21","32,0","35","21","45","01:47:35","01:47:37","279","299"
Bieganie,2025-08-29 15:48:29,false,"Wiśniowa Bieganie","6,00","438","00:35:08","131","137","2,3","175","180","5:51","4:58","36","38","0,98","9,6","9,6","249","49,7% L / 50,3% P","5:51","345","0,0","341","465","6.072","29,0","Nie","00:00:00,7","7","34,0","34","23","46","00:35:07","00:35:08","305","342"
Bieganie,2025-08-28 15:47:31,false,"Wiśniowa - Trening interwałowy 400 m","13,01","998","01:08:47","156","185","4,1","173","215","5:17","2:58","77","77","1,07","8,5","8,5","267","49,5% L / 50,5% P","5:16","413","0,0","355","697","11.660","28,0","Nie","00:00:01,3","41","35,0","37","25","45","01:08:29","01:08:47","298","310"
Bieganie,2025-08-27 15:58:12,false,"Wiśniowa Bieganie","9,00","638","00:48:18","135","146","3,0","177","183","5:22","4:31","75","75","1,06","8,9","9,6","240","50,0% L / 50,0% P","5:20","356","0,0","354","485","8.440","26,0","Nie","00:00:01,2","10","32,0","37","12","46","00:48:16","00:48:18","302","377"
Bieganie,2025-08-26 14:21:36,false,"Myślenice Bieganie","18,01","1.281","01:30:13","146","156","3,8","175","181","5:01","4:09","51","53","1,14","8,7","10,2","235","50,6% L / 49,4% P","5:01","388","0,0","386","490","15.608","22,0","Nie","00:00:01,2","19","33,0","33","22","43","01:30:09","01:30:13","278","296"
Bieg lekkoatletyczny,2025-08-24 10:18:23,false,"Mszana Dolna Bieg lekkoatletyczny","14.000","997","01:02:48","160","177","4,7","181","195","4:29","3:50","--","--","1,23","7,8","9,7","220","50,2% L / 49,8% P","--","424","0,0","416","549","11.218","17,0","Nie","00:00:00,4","15","24,0","37","26","45","01:02:45","01:02:48","393","395"
Bieganie,2025-08-23 12:57:28,false,"Myślenice Bieganie","22,01","1.549","01:50:45","145","154","4,1","178","185","5:02","4:31","55","56","1,12","8,5","9,7","236","50,2% L / 49,8% P","5:02","383","0,0","382","471","19.482","17,0","Nie","00:00:01,1","23","25,0","33","19","40","01:50:41","01:50:45","278","298"
Bieganie,2025-08-22 15:46:33,false,"Wiśniowa Bieganie","6,00","426","00:33:33","128","137","2,4","176","181","5:35","4:53","34","38","1,02","9,2","9,6","245","49,7% L / 50,3% P","5:35","356","0,0","355","409","5.866","21,0","Nie","00:00:01,0","7","30,0","34","20","50","00:33:32","00:33:33","304","340"
Bieganie,2025-08-21 15:45:51,false,"Wiśniowa - Trening interwałowy 400 m","12,01","889","01:01:47","150","177","3,9","176","208","5:09","3:05","61","62","1,08","8,5","8,6","256","49,6% L / 50,4% P","5:08","402","0,0","358","661","10.660","21,0","Nie","00:00:01,4","37","29,0","35","25","44","01:01:29","01:01:47","299","310"
Bieganie,2025-08-20 18:36:05,false,"Wiśniowa Bieganie","8,00","572","00:44:47","130","142","2,8","174","180","5:36","4:38","70","70","1,03","9,3","9,7","254","49,8% L / 50,2% P","5:33","355","0,0","354","444","7.726","23,0","Nie","00:00:00,8","9","30,0","35","16","44","00:44:46","00:44:47","305","377"
Bieganie,2025-08-19 16:05:29,false,"Myślenice Bieganie","18,00","1.266","01:30:58","143","150","3,8","174","192","5:03","4:39","41","45","1,13","8,9","10,3","236","49,7% L / 50,3% P","5:03","385","0,0","384","468","15.694","22,0","Nie","00:00:00,8","19","32,0","31","21","39","01:30:56","01:30:58","278","296"
